Oct 11, 2017 2:00:28 AM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Oct 11, 2017 2:00:29 AM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Oct 11, 2017 2:00:29 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /home/hly/odl project/p4plugin-karaf3/karaf/target/assembly/lock
Oct 11, 2017 2:00:29 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Oct 11, 2017 2:00:29 AM org.apache.karaf.main.Main$KarafLockCallback lockAquired
INFO: Lock acquired. Setting startlevel to 100
2017-10-11 02:00:32,101 | INFO  | Event Dispatcher | fileinstall                      | 7 - org.apache.felix.fileinstall - 3.5.2 | Creating configuration from org.apache.karaf.jaas.cfg
2017-10-11 02:00:32,148 | INFO  | Event Dispatcher | fileinstall                      | 7 - org.apache.felix.fileinstall - 3.5.2 | Creating configuration from org.opendaylight.aaa.filterchain.cfg
2017-10-11 02:00:32,166 | INFO  | Event Dispatcher | fileinstall                      | 7 - org.apache.felix.fileinstall - 3.5.2 | Creating configuration from org.opendaylight.aaa.tokens.cfg
2017-10-11 02:00:36,047 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature config 3.0.8
2017-10-11 02:00:36,128 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature standard 3.0.8
2017-10-11 02:00:36,423 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature region 3.0.8
2017-10-11 02:00:36,456 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature package 3.0.8
2017-10-11 02:00:36,499 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature kar 3.0.8
2017-10-11 02:00:36,560 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature ssh 3.0.8
2017-10-11 02:00:36,699 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature management 3.0.8
2017-10-11 02:00:37,114 | INFO  | Event Dispatcher | BlueprintContainerImpl           | 15 - org.apache.aries.blueprint.core - 1.6.1 | Bundle org.apache.karaf.features.command/3.0.8 is waiting for namespace handlers [http://karaf.apache.org/xmlns/shell/v1.1.0]
2017-10-11 02:00:37,369 | INFO  | Event Dispatcher | BlueprintContainerImpl           | 15 - org.apache.aries.blueprint.core - 1.6.1 | Bundle org.apache.karaf.bundle.command/3.0.8 is waiting for namespace handlers [http://karaf.apache.org/xmlns/shell/v1.1.0]
2017-10-11 02:00:37,618 | INFO  | Event Dispatcher | SecuredCommandConfigTransformer  | 27 - org.apache.karaf.shell.console - 3.0.8 | Generating command ACL config org.apache.karaf.command.acl.feature into service ACL configs [org.apache.karaf.service.acl.command.feature.uninstall, org.apache.karaf.service.acl.command.feature.install]
2017-10-11 02:00:37,648 | INFO  | Event Dispatcher | SecuredCommandConfigTransformer  | 27 - org.apache.karaf.shell.console - 3.0.8 | Generating command ACL config org.apache.karaf.command.acl.jaas into service ACL configs [org.apache.karaf.service.acl.command.jaas.update]
2017-10-11 02:00:37,654 | INFO  | Event Dispatcher | SecuredCommandConfigTransformer  | 27 - org.apache.karaf.shell.console - 3.0.8 | Generating command ACL config org.apache.karaf.command.acl.config into service ACL configs [org.apache.karaf.service.acl.command.config.property-append, org.apache.karaf.service.acl.command.config.property-delete, org.apache.karaf.service.acl.command.config.property-set, org.apache.karaf.service.acl.command.config.edit, org.apache.karaf.service.acl.command.config.update, org.apache.karaf.service.acl.command.config.cancel, org.apache.karaf.service.acl.command.config.delete]
2017-10-11 02:00:37,785 | INFO  | Event Dispatcher | SecuredCommandConfigTransformer  | 27 - org.apache.karaf.shell.console - 3.0.8 | Generating command ACL config org.apache.karaf.command.acl.shell into service ACL configs [org.apache.karaf.service.acl.command.shell.java, org.apache.karaf.service.acl.command.shell.edit, org.apache.karaf.service.acl.command.shell.new, org.apache.karaf.service.acl.command.shell.exec]
2017-10-11 02:00:37,815 | INFO  | Event Dispatcher | SecuredCommandConfigTransformer  | 27 - org.apache.karaf.shell.console - 3.0.8 | Generating command ACL config org.apache.karaf.command.acl.system into service ACL configs [org.apache.karaf.service.acl.command.system.property, org.apache.karaf.service.acl.command.system.shutdown, org.apache.karaf.service.acl.command.system.start-level]
2017-10-11 02:00:37,962 | INFO  | Event Dispatcher | SecuredCommandConfigTransformer  | 27 - org.apache.karaf.shell.console - 3.0.8 | Generating command ACL config org.apache.karaf.command.acl.scope_bundle into service ACL configs [org.apache.karaf.service.acl.command.scope_bundle.packages, org.apache.karaf.service.acl.command.scope_bundle.shell, org.apache.karaf.service.acl.command.scope_bundle.admin, org.apache.karaf.service.acl.command.scope_bundle.ssh, org.apache.karaf.service.acl.command.scope_bundle.osgi, org.apache.karaf.service.acl.command.scope_bundle.config, org.apache.karaf.service.acl.command.scope_bundle.jaas, org.apache.karaf.service.acl.command.scope_bundle.features, org.apache.karaf.service.acl.command.scope_bundle.log]
2017-10-11 02:00:38,211 | INFO  | Event Dispatcher | SecuredCommandConfigTransformer  | 27 - org.apache.karaf.shell.console - 3.0.8 | Generating command ACL config org.apache.karaf.command.acl.kar into service ACL configs [org.apache.karaf.service.acl.command.kar.uninstall, org.apache.karaf.service.acl.command.kar.install]
2017-10-11 02:00:38,225 | INFO  | Event Dispatcher | SecuredCommandConfigTransformer  | 27 - org.apache.karaf.shell.console - 3.0.8 | Generating command ACL config org.apache.karaf.command.acl.bundle into service ACL configs [org.apache.karaf.service.acl.command.bundle.watch, org.apache.karaf.service.acl.command.bundle.update, org.apache.karaf.service.acl.command.bundle.install, org.apache.karaf.service.acl.command.bundle.refresh, org.apache.karaf.service.acl.command.bundle.uninstall, org.apache.karaf.service.acl.command.bundle.restart, org.apache.karaf.service.acl.command.bundle.stop, org.apache.karaf.service.acl.command.bundle.start]
2017-10-11 02:00:39,059 | INFO  | Event Dispatcher | BlueprintContainerImpl           | 15 - org.apache.aries.blueprint.core - 1.6.1 | Bundle org.apache.karaf.jaas.modules/3.0.8 is waiting for namespace handlers [http://karaf.apache.org/xmlns/jaas/v1.0.0]
2017-10-11 02:00:45,890 | INFO  | Event Dispatcher | RegionsPersistenceImpl           | 50 - org.apache.karaf.region.persist - 3.0.8 | Loading region digraph persistence
2017-10-11 02:00:46,168 | INFO  | Event Dispatcher | RegionsPersistenceImpl           | 50 - org.apache.karaf.region.persist - 3.0.8 | initializing region digraph from etc/regions-config.xml
2017-10-11 02:00:48,089 | INFO  | Event Dispatcher | SecurityUtils                    | 30 - org.apache.sshd.core - 0.14.0 | BouncyCastle not registered, using the default JCE provider
2017-10-11 02:00:51,486 | INFO  | Event Dispatcher | core                             | 61 - org.apache.aries.jmx.core - 1.1.6 | Starting JMX OSGi agent
2017-10-11 02:00:51,621 | INFO  | Event Dispatcher | core                             | 61 - org.apache.aries.jmx.core - 1.1.6 | Registering MBean with ObjectName [osgi.core:service=permissionadmin,version=1.2,framework=org.eclipse.osgi,uuid=006515e6-e4ad-0017-121b-f01d79f59c00] for service with service.id [2]
2017-10-11 02:00:51,726 | INFO  | Event Dispatcher | core                             | 61 - org.apache.aries.jmx.core - 1.1.6 | Registering MBean with ObjectName [osgi.compendium:service=cm,version=1.3,framework=org.eclipse.osgi,uuid=006515e6-e4ad-0017-121b-f01d79f59c00] for service with service.id [37]
2017-10-11 02:00:52,002 | INFO  | Event Dispatcher | core                             | 61 - org.apache.aries.jmx.core - 1.1.6 | Registering org.osgi.jmx.framework.FrameworkMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@467e16d2 with name osgi.core:type=framework,version=1.7,framework=org.eclipse.osgi,uuid=006515e6-e4ad-0017-121b-f01d79f59c00
2017-10-11 02:00:52,003 | INFO  | Event Dispatcher | core                             | 61 - org.apache.aries.jmx.core - 1.1.6 | Registering org.osgi.jmx.service.permissionadmin.PermissionAdminMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@467e16d2 with name osgi.core:service=permissionadmin,version=1.2,framework=org.eclipse.osgi,uuid=006515e6-e4ad-0017-121b-f01d79f59c00
2017-10-11 02:00:52,003 | INFO  | Event Dispatcher | core                             | 61 - org.apache.aries.jmx.core - 1.1.6 | Registering org.osgi.jmx.framework.ServiceStateMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@467e16d2 with name osgi.core:type=serviceState,version=1.7,framework=org.eclipse.osgi,uuid=006515e6-e4ad-0017-121b-f01d79f59c00
2017-10-11 02:00:52,006 | INFO  | Event Dispatcher | core                             | 61 - org.apache.aries.jmx.core - 1.1.6 | Registering org.osgi.jmx.service.cm.ConfigurationAdminMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@467e16d2 with name osgi.compendium:service=cm,version=1.3,framework=org.eclipse.osgi,uuid=006515e6-e4ad-0017-121b-f01d79f59c00
2017-10-11 02:00:52,006 | INFO  | Event Dispatcher | core                             | 61 - org.apache.aries.jmx.core - 1.1.6 | Registering org.osgi.jmx.framework.BundleStateMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@467e16d2 with name osgi.core:type=bundleState,version=1.7,framework=org.eclipse.osgi,uuid=006515e6-e4ad-0017-121b-f01d79f59c00
2017-10-11 02:00:52,007 | INFO  | Event Dispatcher | core                             | 61 - org.apache.aries.jmx.core - 1.1.6 | Registering org.osgi.jmx.framework.PackageStateMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@467e16d2 with name osgi.core:type=packageState,version=1.5,framework=org.eclipse.osgi,uuid=006515e6-e4ad-0017-121b-f01d79f59c00
2017-10-11 02:00:52,007 | INFO  | Event Dispatcher | core                             | 61 - org.apache.aries.jmx.core - 1.1.6 | Registering org.osgi.jmx.framework.wiring.BundleWiringStateMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@467e16d2 with name osgi.core:type=wiringState,version=1.1,framework=org.eclipse.osgi,uuid=006515e6-e4ad-0017-121b-f01d79f59c00
2017-10-11 02:00:53,150 | INFO  | Event Dispatcher | Main                             |  -  -  | Karaf started in 23s. Bundle stats: 64 active, 64 total
2017-10-11 02:01:06,368 | INFO  | l for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-p4plugin-all 0.1.0-SNAPSHOT
2017-10-11 02:01:06,393 | INFO  | l for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-p4plugin-adapter 0.1.0-SNAPSHOT
2017-10-11 02:01:06,393 | INFO  | l for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-p4plugin-netconf-adapter 0.1.0-SNAPSHOT
2017-10-11 02:01:06,393 | INFO  | l for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-mdsal-all 1.5.2-SNAPSHOT
2017-10-11 02:01:06,394 | INFO  | l for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-mdsal-broker 1.5.2-SNAPSHOT
2017-10-11 02:01:06,394 | INFO  | l for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-mdsal-remoterpc-connector 1.5.2-SNAPSHOT
2017-10-11 02:01:06,395 | INFO  | l for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-mdsal-broker-local 1.5.2-SNAPSHOT
2017-10-11 02:01:06,395 | INFO  | l for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-yangtools-common 1.1.2-SNAPSHOT
2017-10-11 02:01:06,398 | INFO  | l for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-guava-18 1.8.2-SNAPSHOT
2017-10-11 02:01:06,468 | INFO  | l for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-triemap-0.2 1.8.2-SNAPSHOT
2017-10-11 02:01:06,599 | INFO  | l for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-mdsal-binding-dom-adapter 2.2.2-SNAPSHOT
2017-10-11 02:01:06,599 | INFO  | l for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-mdsal-binding-runtime 2.2.2-SNAPSHOT
2017-10-11 02:01:06,600 | INFO  | l for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-yangtools-yang-data 1.1.2-SNAPSHOT
2017-10-11 02:01:06,600 | INFO  | l for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-yangtools-yang-parser 1.1.2-SNAPSHOT
2017-10-11 02:01:06,758 | INFO  | l for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-mdsal-binding-base 2.2.2-SNAPSHOT
2017-10-11 02:01:06,927 | INFO  | l for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-mdsal-binding-api 2.2.2-SNAPSHOT
2017-10-11 02:01:06,931 | INFO  | l for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-mdsal-common 2.2.2-SNAPSHOT
